post_id,caption,gender_bias_score,explanation,raw_response,json_file
1506604353729116831,This look personifies the #MetGala! 🙌🏾 @traceeellisross in @commedesgarcons #MetGala2017 #avantegarde #traceeellisross  #commedesgarcons #latepost,0.0,帖子内容中未包含任何明显的性别倾向元素，仅是对Met Gala活动的时尚评论，提到Tracee Ellis Ross和Comme des Garçons的服装，整体中性。,分数: 0.0 | 原因: 帖子内容中未包含任何明显的性别倾向元素，仅是对Met Gala活动的时尚评论，提到Tracee Ellis Ross和Comme des Garçons的服装，整体中性。,1506604353729116831.json
1506502934257601315,"Yummy breakfast with @gioseppo_official ✨
Domanda per voi 🤔 in settimana registro il video decluttering su tuuutte le mie borse 👛 cosa ne pensate? Oppure preferireste vedere un video su ""cosa indossar...",7.5,帖子内容主要围绕时尚、穿搭和日常生活的分享，使用了大量与时尚相关的标签（如#outfit、#fashion、#outfitinspiration等），并且提到了关于整理包包和穿搭建议的问题，整体风格偏向女性化的时尚分享，因此性别倾向较为明显。,分数: 7.5 | 原因: 帖子内容主要围绕时尚、穿搭和日常生活的分享，使用了大量与时尚相关的标签（如#outfit、#fashion、#outfitinspiration等），并且提到了关于整理包包和穿搭建议的问题，整体风格偏向女性化的时尚分享，因此性别倾向较为明显。,1506502934257601315.json
1506472549386002139,Soooo happy to get my hands on the newest smartphone from @vivo_indonesia. I already took some selfies using #VivoV5s and the result is amazing! You can see how clear the photo is! If you want to know...,3.0,帖子中提到“selfies”和“clear photo”，可能暗示对自拍和外观的关注，但整体内容较为中性，没有明显的性别倾向特征。,分数: 3.0 | 原因: 帖子中提到“selfies”和“clear photo”，可能暗示对自拍和外观的关注，但整体内容较为中性，没有明显的性别倾向特征。,1506472549386002139.json
1506604519873957340,"I am so excited to be attending another #culinarycouncil demo this time with  @marthastewart! She's going to show different recipes from her new book, A New Way To Bake! Are you free tonight? I'll be ...",3.0,帖子内容主要围绕美食活动和合作推广，提及了玛莎·斯图尔特（Martha Stewart）和相关美食主题，但并未明显表现出强烈的性别倾向，更多是中性化的商业推广内容。,分数: 3.0 | 原因: 帖子内容主要围绕美食活动和合作推广，提及了玛莎·斯图尔特（Martha Stewart）和相关美食主题，但并未明显表现出强烈的性别倾向，更多是中性化的商业推广内容。,1506604519873957340.json
1506472134619241671,"👋 привет! Хотела вам рассказать, что в Москве очень сложно снимать стритстайл. Это прям целая эпопея: то холодно, то идёт дождь-град-снег, поймать солнце-мишн импоссибл. Люди как дикие, всем очень инт...",6.5,帖子中使用了女性化的表达方式（如“Хотела вам рассказать”和“мы стараемся”），并且提到穿着的服装品牌和搭配细节，整体风格偏向女性化的时尚分享，因此性别倾向较为明显。,分数: 6.5 | 原因: 帖子中使用了女性化的表达方式（如“Хотела вам рассказать”和“мы стараемся”），并且提到穿着的服装品牌和搭配细节，整体风格偏向女性化的时尚分享，因此性别倾向较为明显。,1506472134619241671.json
1506476185134440619,"Taking the @mclarenauto 720S to the harbor👌🏻
#mclaren#mclaren720s#720s#mclarens#supercar#supercars#ultimatecar#ultimatecars#italia#italy#hypercar#hypercars#superseries#mclarensuperseries#harbor#around...",2.0,帖子内容主要围绕汽车和驾驶体验，使用了与汽车文化相关的标签，但没有明显的性别倾向元素，整体中性。,分数: 2.0 | 原因: 帖子内容主要围绕汽车和驾驶体验，使用了与汽车文化相关的标签，但没有明显的性别倾向元素，整体中性。,1506476185134440619.json
1506609670747663906,I've had so many questions about this beautiful dress I wore for the Juno Awards red carpet. I found it online weeks in advance and the @lechateau team was kind enough to send it to me...☺️One of my l...,3.0,帖子内容主要围绕一件美丽的连衣裙及其来源，提到红毯和加拿大品牌，但没有明显的性别倾向元素，因此性别倾向程度较低。,分数: 3.0 | 原因: 帖子内容主要围绕一件美丽的连衣裙及其来源，提到红毯和加拿大品牌，但没有明显的性别倾向元素，因此性别倾向程度较低。,1506609670747663906.json
1506471689545146369,"""Climb the mountain so you can see the world, not so the world can see you"" - David McCullough Jr. 
I'm supporting the @girlsmakeyourmove campaign because it involves 4 things I’m passionate about: bo...",,,,1506471689545146369.json
1506490016213234846,"| Hello 💖 |

J'espère que vous allez bien ?
Moi j'ai eu la migraine toute la nuit et ça dure encore mnt 😣 .

J'en profite pour vous montrer le joli colis reçu de la part de @neejolie .

Les poils sont...",,,,1506490016213234846.json
1506494682200622997,"Mornings like this ❤️ Watching @glamlifeguru and drinking @milford_tee that I got in my @degustabox_de 🙌🏻
#degustabox_de #degustabox_april 
Who is your favorite youtuber?",,,,1506494682200622997.json
1506504589724463648,"Brand new limited edition Aaron Ramsey @nbfootball Visaro 2.0 boots, pair number 73/100",,,,1506504589724463648.json
1506484452032051180,"➿J U M P ➿
Jump for joy, jump to freedom 😊
•
•
•
•
•
•
•
•
•
•
•
•
•
•
•
•
•
@missguided 
#denim#denimjacket#denimstyle#denimondenim#shoestobehappy#streetstylewomen#stylist#streetstyle#styleblogger#st...",,,,1506484452032051180.json
1506487546748759305,"Make Mom's Day a very special day! How? For instance, surprising your mom with a delicious breakfast in bed and a sweet box of Lindt chocolates! @lindt_switzerland #mylindormoment #mothersday #lindtli...",,,,1506487546748759305.json
1506605670681502990,"I'd love to share a few more photos from the ""Party Like a Narwhal"" feature in @everydaypartymagazine. How adorable is the narwhal invite from @invitedbyaudriana and the darling narwhal toppers from @...",,,,1506605670681502990.json
1506510330367541700,"▪️TIRED ☕️ : trop fatiguée cette semaine, heureusement qu'elle ne dure que 4 jours ⚡️! Vivement le week end pour une journée #cocoon ☁️ - w/ @lavantgardiste : chaussons licornes que j'aime beaucoup tr...",,,,1506510330367541700.json
1506469922527780747,"Having a serious convo about aesthetics with the king of aesthetics himself @jeff_seid .
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#super_athletes #💯 #astralfitness #consistency #chasing #naturalmuscle #bod...",,,,1506469922527780747.json
1506607828013824124,I S S A  K N I F E 🗡 😈 @21savage x @shotbyjacques 📸 #OutbreakTour #21 #monsterenergy @xxl,,,,1506607828013824124.json
1506478493788448262,New video alarm! @jeffreestarcosmetics X @mannymua733 First Impression!! Link in bio! ✨ #jeffreestar #jeffreestarcosmetics #mannymua #daddy #eclipse #imshook,,,,1506478493788448262.json
